SAMPLEDATEI,OILR,WATERR,GASR,CO2R,TESTTIMER,SPTCODEI,SALINITYR,WELLHEADPRESSR,WELLHEADTEMPR,CHOKESIZER,FLOWLINEPRESSR,HEADERPRESSR,SEPARATORPRESSR,TUBINGPRESSR,CASINGPRESSR,
1081438033,10.6499996,534.7000122,0.7000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1092772788,0.5120000,511.7999878,9.7100000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1091723381,13.2299995,538.2000122,35.4700012,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1097941113,16.0000000,448.0000000,9.7100000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1112397309,9.0000000,536.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1119997574,7.0000000,663.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1117115912,4.5000000,604.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1120315071,10.0000000,580.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1120778007,27.0000000,660.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1122338206,22.0000000,689.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
